station_id,station_name,lon,lat,sample_date,parameter,fraction,value,unit
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-10,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-24,"Nitrogen,total N",Total,4.5,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-24,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,3.1,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-24,"Glødetab,susp.stof",Total,23.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-24,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.047,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-24,Suspenderede stoffer,Total,120.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-24,"Phosphor, total-P",Total,0.39,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-01-24,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.086,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-02-14,"Phosphor, total-P",Total,0.11,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-02-14,Suspenderede stoffer,Total,21.0,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-02-14,"Glødetab,susp.stof",Total,6.2,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-02-14,"Nitrogen,total N",Total,3.9,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-02-14,Nitrit+nitrat-N,Opløst - filtrat fra filtrering,3.1,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-02-14,Ammoniak+ammonium-N,Opløst - filtrat fra filtrering,0.23,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-02-14,Ortho-phosphat-P,Opløst - filtrat fra filtrering,0.032,mg/l
1000315,"Klostergrøften, Klostergrøften.",9.727979564515838,57.37412271269709,2018-03-01,"Glødetab,susp.stof",Total,2.8,mg/l
